,sents
2869,"“I knew you at once—but—I mean, that I concluded Mr. Casaubon’s address would be found at the Poste Restante, and I was anxious to pay my respects to him and you as early as possible.”  “Pray sit down."
2870,"He is not here now, but he will be glad to hear of you, I am sure,” said Dorothea, seating herself unthinkingly between the fire and the light of the tall window, and pointing to a chair opposite, with the quietude of a benignant matron."
2871,The signs of girlish sorrow in her face were only the more striking.
2872,“Mr.
2873,"Casaubon is much engaged; but you will leave your address—will you not?—and he will write to you.”  “You are very good,” said Ladislaw, beginning to lose his diffidence in the interest with which he was observing the signs of weeping which had altered her face."
2874,“My address is on my card.
2875,"But if you will allow me I will call again to-morrow at an hour when Mr. Casaubon is likely to be at home.”  “He goes to read in the Library of the Vatican every day, and you can hardly see him except by an appointment."
2876,Especially now.
2877,"We are about to leave Rome, and he is very busy."
2878,He is usually away almost from breakfast till dinner.
2879,But I am sure he will wish you to dine with us.”  Will Ladislaw was struck mute for a few moments.
2880,"He had never been fond of Mr. Casaubon, and if it had not been for the sense of obligation, would have laughed at him as a Bat of erudition."
2881,"But the idea of this dried-up pedant, this elaborator of small explanations about as important as the surplus stock of false antiquities kept in a vendor’s back chamber, having first got this adorable young creature to marry him, and then passing his honeymoon away from her, groping after his mouldy futilities (Will was given to hyperbole)—this sudden picture stirred him with a sort of comic disgust: he was divided between the impulse to laugh aloud and the equally unseasonable impulse to burst into scornful invective."
2882,"For an instant he felt that the struggle was causing a queer contortion of his mobile features, but with a good effort he resolved it into nothing more offensive than a merry smile."
2883,"Dorothea wondered; but the smile was irresistible, and shone back from her face too."
2884,"Will Ladislaw’s smile was delightful, unless you were angry with him beforehand: it was a gush of inward light illuminating the transparent skin as well as the eyes, and playing about every curve and line as if some Ariel were touching them with a new charm, and banishing forever the traces of moodiness."
2885,"The reflection of that smile could not but have a little merriment in it too, even under dark eyelashes still moist, as Dorothea said inquiringly, “Something amuses you?”  “Yes,” said Will, quick in finding resources."
2886,"“I am thinking of the sort of figure I cut the first time I saw you, when you annihilated my poor sketch with your criticism.”  “My criticism?” said Dorothea, wondering still more."
